0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
sugar,2022-10-28,16,10,24,2022-10-29,18,7,25,2022-10-30,18,8,24,2022-10-31,20,7,23,2022-11-01,20,13,17,2022-11-02,20,11,19,2022-11-03,16,14,20
sugar,2022-10-28,16,10,24,2022-10-29,18,7,25,2022-10-30,18,8,24,2022-10-31,20,7,23,2022-11-01,20,13,17,2022-11-02,20,11,19,2022-11-03,16,14,20
sugar,2022-10-28,16,10,24,2022-10-29,18,7,25,2022-10-30,18,8,24,2022-10-31,20,7,23,2022-11-01,20,13,17,2022-11-02,20,11,19,2022-11-03,16,14,20
sugar,2022-10-28,16,10,24,2022-10-29,18,7,25,2022-10-30,18,8,24,2022-10-31,20,7,23,2022-11-01,20,13,17,2022-11-02,20,11,19,2022-11-03,16,14,20
sugar,2022-10-28,16,10,24,2022-10-29,18,7,25,2022-10-30,18,8,24,2022-10-31,20,7,23,2022-11-01,20,13,17,2022-11-02,20,11,19,2022-11-03,16,14,20
sugar,2022-10-28,16,10,24,2022-10-29,18,7,25,2022-10-30,18,8,24,2022-10-31,20,7,23,2022-11-01,20,13,17,2022-11-02,20,11,19,2022-11-03,16,14,20
sugar,2022-10-28,16,10,24,2022-10-29,18,7,25,2022-10-30,18,8,24,2022-10-31,20,7,23,2022-11-01,20,13,17,2022-11-02,20,11,19,2022-11-03,16,14,20
wheat,2022-10-28,7,5,38,2022-10-29,8,3,39,2022-10-30,10,3,37,2022-10-31,10,3,37,2022-11-01,13,4,33,2022-11-02,11,3,36,2022-11-03,13,7,30
wheat,2022-10-28,7,5,38,2022-10-29,8,3,39,2022-10-30,10,3,37,2022-10-31,10,3,37,2022-11-01,13,4,33,2022-11-02,11,3,36,2022-11-03,13,7,30
wheat,2022-10-28,7,5,38,2022-10-29,8,3,39,2022-10-30,10,3,37,2022-10-31,10,3,37,2022-11-01,13,4,33,2022-11-02,11,3,36,2022-11-03,13,7,30
wheat,2022-10-28,7,5,38,2022-10-29,8,3,39,2022-10-30,10,3,37,2022-10-31,10,3,37,2022-11-01,13,4,33,2022-11-02,11,3,36,2022-11-03,13,7,30
wheat,2022-10-28,7,5,38,2022-10-29,8,3,39,2022-10-30,10,3,37,2022-10-31,10,3,37,2022-11-01,13,4,33,2022-11-02,11,3,36,2022-11-03,13,7,30
wheat,2022-10-28,7,5,38,2022-10-29,8,3,39,2022-10-30,10,3,37,2022-10-31,10,3,37,2022-11-01,13,4,33,2022-11-02,11,3,36,2022-11-03,13,7,30
wheat,2022-10-28,7,5,38,2022-10-29,8,3,39,2022-10-30,10,3,37,2022-10-31,10,3,37,2022-11-01,13,4,33,2022-11-02,11,3,36,2022-11-03,13,7,30
corn,2022-10-28,5,1,44,2022-10-29,4,6,40,2022-10-30,9,11,30,2022-10-31,12,12,26,2022-11-01,13,6,31,2022-11-02,10,7,33,2022-11-03,17,6,27
corn,2022-10-28,5,1,44,2022-10-29,4,6,40,2022-10-30,9,11,30,2022-10-31,12,12,26,2022-11-01,13,6,31,2022-11-02,10,7,33,2022-11-03,17,6,27
corn,2022-10-28,5,1,44,2022-10-29,4,6,40,2022-10-30,9,11,30,2022-10-31,12,12,26,2022-11-01,13,6,31,2022-11-02,10,7,33,2022-11-03,17,6,27
corn,2022-10-28,5,1,44,2022-10-29,4,6,40,2022-10-30,9,11,30,2022-10-31,12,12,26,2022-11-01,13,6,31,2022-11-02,10,7,33,2022-11-03,17,6,27
corn,2022-10-28,5,1,44,2022-10-29,4,6,40,2022-10-30,9,11,30,2022-10-31,12,12,26,2022-11-01,13,6,31,2022-11-02,10,7,33,2022-11-03,17,6,27
corn,2022-10-28,5,1,44,2022-10-29,4,6,40,2022-10-30,9,11,30,2022-10-31,12,12,26,2022-11-01,13,6,31,2022-11-02,10,7,33,2022-11-03,17,6,27
corn,2022-10-28,5,1,44,2022-10-29,4,6,40,2022-10-30,9,11,30,2022-10-31,12,12,26,2022-11-01,13,6,31,2022-11-02,10,7,33,2022-11-03,17,6,27
soybeans,2022-10-28,1,1,1,2022-10-29,2,1,2,2022-10-30,2,1,2,2022-10-31,2,1,3,2022-11-01,3,1,3,2022-11-02,4,1,3,2022-11-03,7,1,4
soybeans,2022-10-28,1,1,1,2022-10-29,2,1,2,2022-10-30,2,1,2,2022-10-31,2,1,3,2022-11-01,3,1,3,2022-11-02,4,1,3,2022-11-03,7,1,4
soybeans,2022-10-28,1,1,1,2022-10-29,2,1,2,2022-10-30,2,1,2,2022-10-31,2,1,3,2022-11-01,3,1,3,2022-11-02,4,1,3,2022-11-03,7,1,4
soybeans,2022-10-28,1,1,1,2022-10-29,2,1,2,2022-10-30,2,1,2,2022-10-31,2,1,3,2022-11-01,3,1,3,2022-11-02,4,1,3,2022-11-03,7,1,4
soybeans,2022-10-28,1,1,1,2022-10-29,2,1,2,2022-10-30,2,1,2,2022-10-31,2,1,3,2022-11-01,3,1,3,2022-11-02,4,1,3,2022-11-03,7,1,4
soybeans,2022-10-28,1,1,1,2022-10-29,2,1,2,2022-10-30,2,1,2,2022-10-31,2,1,3,2022-11-01,3,1,3,2022-11-02,4,1,3,2022-11-03,7,1,4
soybeans,2022-10-28,1,1,1,2022-10-29,2,1,2,2022-10-30,2,1,2,2022-10-31,2,1,3,2022-11-01,3,1,3,2022-11-02,4,1,3,2022-11-03,7,1,4
coffee,2022-10-28,18,9,23,2022-10-29,15,11,24,2022-10-30,23,6,21,2022-10-31,21,6,23,2022-11-01,16,5,29,2022-11-02,11,12,27,2022-11-03,19,12,19
coffee,2022-10-28,18,9,23,2022-10-29,15,11,24,2022-10-30,23,6,21,2022-10-31,21,6,23,2022-11-01,16,5,29,2022-11-02,11,12,27,2022-11-03,19,12,19
coffee,2022-10-28,18,9,23,2022-10-29,15,11,24,2022-10-30,23,6,21,2022-10-31,21,6,23,2022-11-01,16,5,29,2022-11-02,11,12,27,2022-11-03,19,12,19
coffee,2022-10-28,18,9,23,2022-10-29,15,11,24,2022-10-30,23,6,21,2022-10-31,21,6,23,2022-11-01,16,5,29,2022-11-02,11,12,27,2022-11-03,19,12,19
coffee,2022-10-28,18,9,23,2022-10-29,15,11,24,2022-10-30,23,6,21,2022-10-31,21,6,23,2022-11-01,16,5,29,2022-11-02,11,12,27,2022-11-03,19,12,19
coffee,2022-10-28,18,9,23,2022-10-29,15,11,24,2022-10-30,23,6,21,2022-10-31,21,6,23,2022-11-01,16,5,29,2022-11-02,11,12,27,2022-11-03,19,12,19
